Time domain (s),Current (AC) (A),Potential (AC) (V),Frequency (Hz),Column 5
0,0.0310953451537816,0.00116408330293938,10000,0.3
3.125E-06,0.0553583212124086,0.00147608907637498,,
6.25E-06,0.07783645855402,0.00177277131826159,,
9.375E-06,0.0971506622496893,0.00194359090001139,,
1.25E-05,0.112982709490554,0.00206907038477366,,
1.5625E-05,0.124064436818486,0.00207733303920321,,
1.875E-05,0.130500860272757,0.00202068578526937,,
2.1875E-05,0.131779598421224,0.00191685222572779,,
2.5E-05,0.127977574713271,0.00169642885010157,,
2.8125E-05,0.119156044698554,0.00138917096789148,,
3.125E-05,0.105835474993621,0.00107789322766649,,
3.4375E-05,0.0883325124815605,0.000719362996996598,,
3.75E-05,0.0673753719070629,0.000347083737223475,,
4.0625E-05,0.0440606920534148,-7.26639845689547E-05,,
4.375E-05,0.0191610419820231,-0.000462962937159972,,
4.6875E-05,-0.00558789020264761,-0.000818260561037842,,
5E-05,-0.0306782729717219,-0.00118346849345352,,
5.3125E-05,-0.0552874730710828,-0.00149001924292813,,
5.625E-05,-0.0779003634861379,-0.00175413157802051,,
5.9375E-05,-0.0973616764269003,-0.0019406508998685,,
6.25E-05,-0.113083751456133,-0.00206933860753589,,
6.5625E-05,-0.124307038029693,-0.00207985851325931,,
6.875E-05,-0.130775185554982,-0.00204720848797812,,
7.1875E-05,-0.132219647144281,-0.00192406637299714,,
7.5E-05,-0.128367262330066,-0.00168239418117411,,
7.8125E-05,-0.119454419978463,-0.00141666554268571,,
8.125E-05,-0.105952481772477,-0.0010948435128495,,
8.4375E-05,-0.088266666191605,-0.000712134916077023,,
8.75E-05,-0.06736587067341,-0.000299367952917073,,
9.0625E-05,-0.0437611519588027,8.01672550752031E-05,,
9.375E-05,-0.0188305086805189,0.00046458272396821,,
9.6875E-05,0.00620448829141965,0.000820765134619261,,
0.0001,0.0310393655295426,0.0011944203423262,,
0.000103125,0.0554952440387296,0.00150810163717052,,
0.00010625,0.0777767104116254,0.00175249089073715,,
0.000109375,0.0973281708745712,0.00196492331810827,,
0.0001125,0.112799605187199,0.00207483194903446,,
0.000115625,0.12410584483919,0.00206785119040198,,
0.00011875,0.130514655333157,0.00204361360628713,,
0.000121875,0.131826739157425,0.00190267473688799,,
0.000125,0.128015945079946,0.00168746254634877,,
0.000128125,0.119198411978425,0.00142539149097631,,
