Res_Real	Res_Imag	Fit_Real	Fit_Imag	freq	Data_Real	Data_Imag
0.42469506	0.300068455	0.04389362	-0.020773287	0.0031623	0.044100387	-0.020627196
-0.290462371	0.120836558	0.042613646	-0.018711555	0.0039811	0.042478886	-0.018655493
-0.447867171	0.131818054	0.04104705	-0.017021809	0.0050119	0.040848953	-0.016963504
-0.316844306	0.082506883	0.039344205	-0.01548912	0.0063096	0.039210667	-0.015454346
-0.195230205	-0.107935833	0.037666681	-0.014038373	0.0079433	0.037588317	-0.014081698
-0.179275079	-0.279640213	0.036098655	-0.01268775	0.01	0.03603011	-0.012794669
-0.219646327	-0.294760461	0.03463986	-0.011451223	0.012589	0.034559818	-0.011558638
-0.160680626	-0.227288399	0.033277373	-0.010293591	0.015849	0.033221451	-0.010372694
-0.040825584	-0.209815683	0.032041019	-0.009174832	0.019953	0.03202741	-0.009244774
0.04586361	-0.253793052	0.030976444	-0.008103225	0.025119	0.030991145	-0.008184575
0.051121647	-0.272080486	0.030089504	-0.007123231	0.031623	0.030105329	-0.007207456
0.018543446	-0.215549172	0.029341454	-0.00626196	0.039811	0.029347021	-0.006326671
0.057595059	-0.146859537	0.028692419	-0.00550765	0.050119	0.02870926	-0.005550593
0.109597588	-0.128806882	0.028129989	-0.004838695	0.063096	0.028161313	-0.004875508
0.122962366	-0.138803696	0.027652685	-0.004251827	0.079433	0.027687136	-0.004290716
0.097108959	-0.112076769	0.02724471	-0.003752984	0.1	0.027271447	-0.003783842
0.085281482	-0.088426749	0.026880597	-0.003334183	0.12589	0.026903719	-0.003358157
0.090089039	-0.038901309	0.026547139	-0.002973773	0.15849	0.026571227	-0.002984175
0.127754194	-0.031116792	0.026247883	-0.002657279	0.19953	0.026281631	-0.002665499
0.111562757	-0.042841986	0.025985331	-0.002385476	0.25119	0.026014476	-0.002396668
0.101657997	-0.008969411	0.025749941	-0.002160649	0.31623	0.025776237	-0.002162969
0.09782432	0.038716985	0.025530617	-0.001974626	0.39811	0.02555569	-0.001964702
0.112589281	0.060384111	0.025327373	-0.001816616	0.50119	0.025355994	-0.001801266
0.093011263	0.074936457	0.02514541	-0.001687137	0.63096	0.025168871	-0.001668235
0.058257738	0.126044898	0.024979605	-0.001594665	0.79433	0.024994194	-0.001563099
0.052829162	0.2483435	0.024814152	-0.001538851	1	0.024827291	-0.001477085
-0.213823169	0.082778339	0.024639485	-0.00150552	1.2589	0.024586816	-0.001485131
-0.119557892	0.072680778	0.024462205	-0.001481956	1.5849	0.024432941	-0.001464166
-0.082741329	0.020501489	0.024293631	-0.001471378	1.9953	0.02427351	-0.001466392
-0.124310247	-0.023442573	0.024132526	-0.001486788	2.5119	0.024102507	-0.001492449
-0.146554807	-0.033532325	0.023965153	-0.001533813	3.1623	0.02393001	-0.001541854
-0.096258172	-0.046655943	0.023780078	-0.001605763	3.9811	0.023757157	-0.001616873
-0.111922412	-0.078611563	0.023576002	-0.001694735	5.0119	0.023549575	-0.001713296
-0.030153588	-0.124616948	0.023354021	-0.001800802	6.3096	0.023346959	-0.001829985
-0.201342099	-0.13771682	0.023107669	-0.001927056	7.9433	0.023061071	-0.001958929
0.098994049	-0.153717506	0.022824745	-0.002069034	10	0.022847458	-0.002104303
0.010739819	-0.094628256	0.022497368	-0.002212561	12.589	0.022499797	-0.002233957
0.006125616	-0.051293325	0.022127629	-0.002340931	15.849	0.022128992	-0.002352345
-0.126831754	-0.013214312	0.021725532	-0.002441725	19.953	0.021697838	-0.00244461
-0.036734883	-0.196746188	0.021304246	-0.002508612	25.119	0.021296367	-0.002550811
-0.016383561	-0.13777153	0.020877726	-0.002541032	31.623	0.02087428	-0.002570008
0.022845105	-0.114960491	0.020458631	-0.002544936	39.811	0.020463342	-0.002568645
0.029169029	-0.11287863	0.020053403	-0.002531794	50.119	0.020059301	-0.002554619
0.015602878	-0.102286126	0.019659025	-0.002512251	63.096	0.019662118	-0.002532529
0.007111859	-0.083083142	0.019267315	-0.002488588	79.433	0.019268697	-0.002504732
0.017032959	-0.069248646	0.018874292	-0.002454828	100	0.018877534	-0.002468011
0.024286154	-0.087451631	0.018484069	-0.002405273	125.89	0.018488597	-0.00242158
0.010421112	-0.115284159	0.018102383	-0.002340856	158.49	0.018104286	-0.002361905
-0.017238966	-0.107275503	0.017729341	-0.002265275	199.53	0.01772626	-0.002284448
0.108728123	-0.099973356	0.017360821	-0.002176906	251.19	0.017379868	-0.002194419
0.087613627	-0.057140572	0.016996399	-0.002068272	316.23	0.017011414	-0.002078065
0.082330091	-0.044135012	0.016641992	-0.001933397	398.11	0.016655798	-0.001940798
0.078451867	-0.030754574	0.016303413	-0.001771745	501.19	0.016316289	-0.001776793
0.072423785	0.011130183	0.015981146	-0.001582978	630.96	0.015992785	-0.00158119
0.055246843	0.055134823	0.015674289	-0.001360429	794.33	0.015682985	-0.00135175
0.090332953	0.071401356	0.015388288	-0.001093101	1000	0.015402236	-0.001082076
-0.100347324	0.035743037	0.015135765	-0.000774083	1258.9	0.015120572	-0.000768671
-0.004101643	-0.012510555	0.014928873	-0.000404772	1584.9	0.014928261	-0.00040664
