Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPT Time
0,1,0.0,0.0,0.0,0.0,3.701,8/8/2020 18:52
0,1,1.0,1.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,2.0,2.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,3.0,3.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,4.0,4.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,5.0,5.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,6.0,6.0,0.0,0.0,3.7,8/8/2020 18:52
0,1,7.0,7.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,8.0,8.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,9.0,9.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,10.0,10.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,11.0,11.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,12.0,12.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,13.0,13.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,14.0,14.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,15.0,15.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,16.0,16.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,17.0,17.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,18.0,18.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,19.0,19.0,0.0,0.0,3.699,8/8/2020 18:52
0,1,20.0,20.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,21.0,21.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,22.0,22.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,23.0,23.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,24.0,24.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,25.0,25.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,26.0,26.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,27.0,27.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,28.0,28.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,29.0,29.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,30.0,30.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,31.0,31.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,32.0,32.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,33.0,33.0,0.0,0.0,3.7,8/8/2020 18:53
0,1,34.0,34.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,35.0,35.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,36.0,36.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,37.0,37.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,38.0,38.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,39.0,39.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,40.0,40.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,41.0,41.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,42.0,42.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,43.0,43.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,44.0,44.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,45.0,45.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,46.0,46.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,47.0,47.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,48.0,48.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,49.0,49.0,0.0,0.0,3.7,8/8/2020 18:53
0,1,50.0,50.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,51.0,51.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,52.0,52.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,53.0,53.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,54.0,54.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,55.0,55.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,56.0,56.0,0.0,0.0,3.7,8/8/2020 18:53
0,1,57.0,57.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,58.0,58.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,59.0,59.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,60.0,60.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,61.0,61.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,62.0,62.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,63.0,63.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,64.0,64.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,65.0,65.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,66.0,66.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,67.0,67.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,68.0,68.0,0.0,0.0,3.699,8/8/2020 18:53
0,1,68.53,68.53,0.0,0.0,3.699,8/8/2020 18:53
0,3,68.68,0.15,0.0,0.0,3.699,8/8/2020 18:53
0,3,78.68,10.15,0.002,0.75,3.729,8/8/2020 18:53
0,3,88.68,20.15,0.004,0.75,3.734,8/8/2020 18:54
0,3,98.68,30.15,0.006,0.75,3.738,8/8/2020 18:54
0,3,108.68,40.15,0.008,0.75,3.742,8/8/2020 18:54
0,3,118.68,50.15,0.01,0.75,3.745,8/8/2020 18:54
0,3,128.68,60.15,0.012,0.75,3.747,8/8/2020 18:54
0,3,138.68,70.15,0.014,0.75,3.75,8/8/2020 18:54
0,3,148.68,80.15,0.016,0.75,3.752,8/8/2020 18:55
0,3,158.68,90.15,0.019,0.75,3.754,8/8/2020 18:55
0,3,168.68,100.15,0.021,0.75,3.756,8/8/2020 18:55
0,3,178.68,110.15,0.023,0.75,3.758,8/8/2020 18:55
0,3,188.68,120.15,0.025,0.75,3.76,8/8/2020 18:55
0,3,198.68,130.15,0.027000000000000003,0.75,3.762,8/8/2020 18:55
