Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
0,,  0d 23:23:31.37,-0.749828336003662,2.499809262226,1.47018,1.463382202452,0.26132089165600003,5.448836362711999,0,0,28.365043640137,27.084566116332997,26.968158721924,28.398305892944002,27.084566116332997,28.281896591187,26.785232543944996,28.281896591187,43623.4158818866
1,,  1d 00:20:16.94,-4.500190737774,2.499656672007,1.46329,1.4087844896000001,1.209093212967,5.0677672676859995,0,0,28.348417282104002,27.550193786620998,27.550193786620998,33.370677947998,27.516935348510998,36.259593963623,27.516935348510998,36.259593963623,43623.4553094097
2,,  1d 01:15:48.05,-4.499885557336,2.499656672007,1.41151,1.410672028893,1.181524942382,5.076704672866,0,0,36.535499572754,27.53356552124,27.53356552124,36.795177459717,27.53356552124,36.259593963623,27.500305175781,36.259593963623,43623.4938754745
3,,  1d 02:11:23.70,-4.499961852445,2.4999618524450002,1.41254,1.4127969932679998,1.176661319718,5.085945377211,0,0,36.519271850586,27.699859619141,27.699859619141,36.86009979248,27.68323135376,36.324512481689,27.68323135376,36.324512481689,43623.5324938079
4,,  1d 03:06:56.08,-4.500038147555,2.4999618524450002,1.41384,1.4130470200749998,1.172407742609,5.0872077684,0,0,36.584190368652,27.649971008301,27.649971008301,36.941246032715,27.649971008301,36.243362426758,27.600082397460998,36.243362426758,43623.571074340296
5,,  1d 04:02:24.19,-4.500038147555,2.499809262226,1.4141400000000002,1.413822016068,1.170694697522,5.090380379481,0,0,36.519271850586,27.649971008301,27.649971008301,36.795177459717,27.633342742920004,36.162216186523,27.633342742920004,36.162216186523,43623.6096053241
6,,  1d 04:57:48.59,-4.500038147555,2.499656672007,1.41464,1.413884541749,1.167995456542,5.090660105815,0,0,36.405662536621,27.566823959351,27.566823959351,36.762718200684,27.566823959351,36.145984649658,27.566823959351,36.145984649658,43623.6480936227
7,,  1d 05:53:05.54,-4.499961852445,2.4999618524450002,1.41472,1.414559577764,1.163748282043,5.0935176166280005,0,0,36.438121795654,27.583454132079996,27.583454132079996,36.746490478516,27.583454132079996,36.243362426758,27.566823959351,36.243362426758,43623.686495463
8,,  1d 06:48:16.66,-4.499809262226,2.4999618524450002,1.4152600000000002,1.4146094967410001,1.157764786233,5.09400626908,0,0,36.535499572754,27.600082397460998,27.600082397460998,36.746490478516,27.600082397460998,36.194671630859,27.566823959351,36.194671630859,43623.724830023195
9,,  1d 07:43:23.94,-4.500038147555,2.499809262226,1.41526,1.414459564439,1.15794733994,5.093693785899,0,0,36.45435333252,27.61671257019,27.61671257019,36.714031219482,27.600082397460998,36.243362426758,27.600082397460998,36.243362426758,43623.7631202662
