,Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
0,0,,  0d 23:22:35.78,-0.7499809262226291,2.4999618524450002,1.46953,1.464242540139,0.24930766229600002,5.454160384659,0,0,28.082342147827,27.101194381714002,26.968158721924,28.148860931395998,27.151082992554002,28.082342147827,26.918270111084,28.082342147827,43637.548400243104
1,1,,  1d 00:19:12.15,-4.500038147555,2.499656672007,1.4642700000000002,1.405509494393,1.195349664693,5.061101949658,0,0,28.049081802368,27.250860214232997,27.250860214232997,31.79638671875,27.267490386963,34.182174682617,27.250860214232997,34.182174682617,43637.587721423595
2,2,,  1d 01:14:35.40,-4.499961852445,2.499656672007,1.4079899999999999,1.407197036157,1.173662023123,5.069172088409,0,0,34.490539550781,27.317378997803,27.317378997803,34.636608123779,27.334011077880998,34.263320922852,27.284120559692003,34.263320922852,43637.626196331
3,3,,  1d 02:10:05.07,-4.499961852445,2.499809262226,1.4088699999999998,1.4084720050200001,1.167899397425,5.074630133015,0,0,34.506771087646,27.267490386963,27.234231948853,34.636608123779,27.217601776123,34.149711608887,27.217601776123,34.149711608887,43637.6647455787
4,4,,  1d 03:05:24.99,-4.500038147555,2.4999618524450002,1.40944,1.4085720164989999,1.1646978684090001,5.075284479252,0,0,34.458080291748,27.267490386963,27.267490386963,34.652839660645,27.267490386963,34.149711608887,27.267490386963,34.149711608887,43637.7031817824
5,5,,  1d 04:00:35.34,-4.499809262226,2.499656672007,1.4093399999999998,1.409284532602,1.159242750642,5.078755407203,0,0,34.425621032715,27.383899688720998,27.284120559692003,34.555458068848,27.350637435913,34.198402404785,27.334011077880998,34.198402404785,43637.7415073611
6,6,,  1d 04:55:42.60,-4.499885557336,2.4999618524450002,1.41006,1.409759529578,1.1578752723049999,5.080589438415,0,0,34.441848754883,27.200971603394,27.200971603394,34.652839660645,27.250860214232997,34.149711608887,27.250860214232997,34.149711608887,43637.7797972454
7,7,,  1d 05:50:45.21,-4.500038147555,2.4999618524450002,1.4104599999999998,1.4097720312270001,1.153408778211,5.080622007850001,0,0,34.40938949585,27.284120559692003,27.267490386963,34.53923034668,27.334011077880998,34.263320922852,27.234231948853,34.263320922852,43637.818033229196
8,8,,  1d 06:45:40.32,-4.499961852445,2.499656672007,1.41067,1.409947042572,1.151411336887,5.081321523164,0,0,34.474311828613,27.217601776123,27.200971603394,34.733985900879,27.284120559692003,34.247093200684,27.217601776123,34.247093200684,43637.856182407406
9,9,,  1d 07:40:33.21,-4.500038147555,2.499809262226,1.4106299999999998,1.4101845320620001,1.146846823076,5.082285052591001,0,0,34.490539550781,27.267490386963,27.250860214232997,34.620380401611,27.267490386963,34.133483886719,27.250860214232997,34.133483886719,43637.894305891205
10,10,,  1d 08:35:28.38,-4.499809262226,2.499809262226,1.41089,1.4099845075670001,1.14497120338,5.081908201071,0,0,34.344470977783,27.250860214232997,27.250860214232997,34.40938949585,27.250860214232997,34.133483886719,27.250860214232997,34.133483886719,43637.932455787
11,11,,  1d 09:30:11.25,-4.499885557336,2.499809262226,1.41034,1.4099470094870001,1.141450769762,5.081556816899,0,0,34.40938949585,27.317378997803,27.250860214232997,34.53923034668,27.334011077880998,34.182174682617,27.267490386963,34.182174682617,43637.9704633449
12,12,,  1d 10:24:53.33,-4.499961852445,2.499809262226,1.41062,1.4102345577570001,1.137932869296,5.082976135916,0,0,34.425621032715,27.367267608642997,27.334011077880998,34.620380401611,27.300748825073,34.182174682617,27.300748825073,34.182174682617,43638.0084616782
13,13,,  1d 11:19:35.26,-4.5002670328829995,2.499809262226,1.41094,1.4098970363319998,1.138067691838,5.081780750272,0,0,34.458080291748,27.234231948853,27.234231948853,34.701526641846,27.234231948853,34.21463394165,27.234231948853,34.21463394165,43638.046458206
14,14,,  1d 12:14:15.79,-4.499961852445,2.4999618524450002,1.41057,1.4098719963530002,1.137151301918,5.081528488143,0,0,34.53923034668,27.217601776123,27.217601776123,34.66907119751,27.250860214232997,34.182174682617,27.167713165282997,34.182174682617,43638.0844386343
15,15,,  1d 13:08:49.96,-4.499885557336,2.4999618524450002,1.4104,1.409934524866,1.131673896089,5.081783432561,0,0,34.40938949585,27.267490386963,27.267490386963,34.555458068848,27.284120559692003,34.165943145752,27.234231948853,34.165943145752,43638.1223454398
16,16,,  1d 14:03:27.88,-4.499885557336,2.4999618524450002,1.41064,1.4096095368000001,1.134344801576,5.080532568272,0,0,34.393161773681996,27.250860214232997,27.250860214232997,34.604148864746,27.267490386963,34.101024627686,27.184343338013,34.101024627686,43638.160295671296
17,17,,  1d 14:57:58.37,-4.499809262226,2.4999618524450002,1.4100899999999998,1.409672008562,1.131484411538,5.080756434829,0,0,34.31201171875,27.267490386963,27.267490386963,34.587917327880994,27.317378997803,34.149711608887,27.317378997803,34.149711608887,43638.1981599769
18,18,,  1d 15:52:21.85,-4.500190737774,2.4999618524450002,1.41008,1.409834532708,1.126977242385,5.081289793256,0,0,34.441848754883,27.350637435913,27.300748825073,34.620380401611,27.334011077880998,34.247093200684,27.250860214232997,34.247093200684,43638.2359432639
19,19,,  1d 16:46:46.67,-4.499885557336,2.4999618524450002,1.41049,1.409784554072,1.125309599746,5.081200502713,0,0,34.474311828613,27.300748825073,27.300748825073,34.717758178711,27.300748825073,34.230865478516,27.300748825073,34.230865478516,43638.2737419213
20,20,,  1d 17:41:12.91,-4.499961852445,2.499656672007,1.41046,1.4097095689160002,1.125398390042,5.08087688063,0,0,34.523002624512,27.367267608642997,27.350637435913,34.604148864746,27.284120559692003,34.149711608887,27.284120559692003,34.149711608887,43638.3115566782
21,21,,  1d 18:35:34.61,-4.500038147555,2.499809262226,1.41012,1.40923457172,1.121163662945,5.078880776293,0,0,34.441848754883,27.184343338013,27.184343338013,34.652839660645,27.200971603394,34.21463394165,27.200971603394,34.21463394165,43638.3493191667
22,22,,  1d 19:29:55.64,-4.500114442664,2.499656672007,1.40995,1.409247042572,1.120329144706,5.078792834278,0,0,34.506771087646,27.267490386963,27.234231948853,34.620380401611,27.317378997803,34.263320922852,27.267490386963,34.263320922852,43638.3870738657
23,23,,  1d 20:24:13.21,-4.500038147555,2.499656672007,1.40959,1.4092970308419999,1.118456556746,5.078991175621,0,0,34.506771087646,27.350637435913,27.300748825073,34.701526641846,27.400526046753,34.263320922852,27.334011077880998,34.263320922852,43638.4247886111
24,24,,  1d 21:18:30.47,-4.500114442664,2.4999618524450002,1.4098000000000002,1.409072014949,1.1193299846690001,5.078394648719001,0,0,34.474311828613,27.417158126831,27.350637435913,34.685298919678004,27.367267608642997,34.165943145752,27.350637435913,34.165943145752,43638.462499722205
25,25,,  1d 22:12:44.90,-4.499885557336,2.499809262226,1.40974,1.4090345256760002,1.118825074804,5.077814024983,0,0,34.393161773681996,27.367267608642997,27.284120559692003,34.604148864746,27.334011077880998,34.279552459717,27.300748825073,34.279552459717,43638.500177928196
26,26,,  1d 23:06:59.83,-4.500190737774,2.4999618524450002,1.40952,1.4090220684349999,1.1151105995669999,5.077585039885,0,0,34.490539550781,27.284120559692003,27.284120559692003,34.782676696777,27.267490386963,34.295780181885,27.234231948853,34.295780181885,43638.5378622801
27,27,,  2d 00:01:14.28,-4.4997329671170005,2.499656672007,1.40954,1.408647079824,1.11560760578,5.076178465715,0,0,34.555458068848,27.350637435913,27.284120559692003,34.782676696777,27.334011077880998,34.247093200684,27.284120559692003,34.247093200684,43638.5755406597
28,28,,  2d 00:55:24.74,-4.499961852445,2.499809262226,1.4090699999999998,1.408372050289,1.114439652828,5.075106956719,0,0,34.474311828613,27.300748825073,27.284120559692003,34.750217437744006,27.334011077880998,34.31201171875,27.250860214232997,34.31201171875,43638.6131731134
29,29,,  2d 01:49:34.91,-4.500038147555,2.4999618524450002,1.40898,1.408122097689,1.114425429894,5.073915530145,0,0,34.523002624512,27.217601776123,27.217601776123,34.701526641846,27.267490386963,34.328243255615,27.267490386963,34.328243255615,43638.6508022917
30,30,,  2d 02:43:42.17,-4.499885557336,2.499809262226,1.40852,1.4078595270379999,1.109984456696,5.072795133187,0,0,34.604148864746,27.317378997803,27.284120559692003,34.733985900879,27.284120559692003,34.230865478516,27.267490386963,34.230865478516,43638.6883974768
31,31,,  2d 03:37:45.88,-4.499885557336,2.499656672007,1.40824,1.4078720408779999,1.108318794861,5.073099904268,0,0,34.571689605713,27.350637435913,27.334011077880998,34.798908233643,27.400526046753,34.328243255615,27.334011077880998,34.328243255615,43638.725951794
32,32,,  2d 04:31:52.19,-4.500038147555,2.4999618524450002,1.40852,1.407734559448,1.1111982324060001,5.072321951393,0,0,34.620380401611,27.334011077880998,27.284120559692003,34.750217437744006,27.284120559692003,34.279552459717,27.284120559692003,34.279552459717,43638.7635363079
33,33,,  2d 05:25:59.06,-4.500190737774,2.4999618524450002,1.40818,1.407484533231,1.1082892754559999,5.071018224215,0,0,34.587917327880994,27.317378997803,27.284120559692003,34.815139770508,27.317378997803,34.393161773681996,27.300748825073,34.393161773681996,43638.8011269676
34,34,,  2d 06:20:01.00,-4.500038147555,2.4999618524450002,1.40773,1.4071095126230002,1.109882376203,5.069883970836,0,0,34.587917327880994,27.334011077880998,27.334011077880998,34.880054473877,27.300748825073,34.036106109619006,27.300748825073,34.036106109619006,43638.8386816435
35,35,,  2d 07:14:01.47,-4.499885557336,2.4999618524450002,1.40778,1.407084560812,1.106783569048,5.0695281561300005,0,0,34.620380401611,27.250860214232997,27.250860214232997,34.798908233643,27.317378997803,34.393161773681996,27.284120559692003,34.393161773681996,43638.8761776157
36,36,,  2d 08:08:03.38,-4.499885557336,2.499809262226,1.4074999999999998,1.406847050341,1.103432583311,5.068333417179,0,0,34.66907119751,27.300748825073,27.300748825073,34.782676696777,27.267490386963,34.40938949585,27.250860214232997,34.40938949585,43638.913710925895
37,37,,  2d 09:02:00.15,-4.500038147555,2.499809262226,1.40725,1.406522007838,1.102812673814,5.0672546197149995,0,0,34.604148864746,27.400526046753,27.334011077880998,34.847595214844,27.350637435913,34.31201171875,27.334011077880998,34.31201171875,43638.951184919
38,38,,  2d 09:56:01.67,-4.500038147555,2.499809262226,1.4072300000000002,1.406409518445,1.104704787552,5.066604124782001,0,0,34.571689605713,27.284120559692003,27.284120559692003,34.863826751709,27.284120559692003,34.393161773681996,27.234231948853,34.393161773681996,43638.9887138657
39,39,,  2d 10:50:01.09,-4.500190737774,2.4999618524450002,1.4067399999999999,1.4057470697,1.101190425974,5.063827217597,0,0,34.66907119751,27.267490386963,27.217601776123,34.717758178711,27.284120559692003,34.263320922852,27.217601776123,34.263320922852,43639.0262184375
40,40,,  2d 11:43:57.12,-4.499809262226,2.499656672007,1.4061299999999999,1.405884517146,1.1034291447220002,5.064632591065,0,0,34.506771087646,27.334011077880998,27.317378997803,34.66907119751,27.317378997803,34.393161773681996,27.284120559692003,34.393161773681996,43639.0636839468
41,41,,  2d 12:37:50.60,-4.499961852445,2.4999618524450002,1.4063800000000002,1.405534530471,1.101535923076,5.063131104208,0,0,34.604148864746,27.317378997803,27.250860214232997,34.782676696777,27.334011077880998,34.328243255615,27.317378997803,34.328243255615,43639.101119791696
42,42,,  2d 13:31:46.04,-4.499961852445,2.499656672007,1.40603,1.4053095740450001,1.100290905518,5.061969380903,0,0,34.53923034668,27.317378997803,27.284120559692003,34.750217437744006,27.267490386963,34.328243255615,27.234231948853,34.328243255615,43639.1385782407
43,43,,  2d 14:25:36.19,-4.499885557336,2.499656672007,1.4057600000000001,1.405147043935,1.101362689102,5.060960736634,0,0,34.555458068848,27.334011077880998,27.300748825073,34.750217437744006,27.317378997803,34.458080291748,27.284120559692003,34.458080291748,43639.1759755671
44,44,,  2d 15:19:30.24,-4.499885557336,2.499656672007,1.40564,1.4049845407460002,1.099873501149,5.060111574825,0,0,34.701526641846,27.250860214232997,27.217601776123,34.831367492676,27.250860214232997,34.523002624512,27.184343338013,34.523002624512,43639.213418101805
45,45,,  2d 16:13:21.08,-4.499885557336,2.499809262226,1.4050799999999999,1.404484511193,1.096908770476,5.058414358543001,0,0,34.733985900879,27.317378997803,27.300748825073,34.847595214844,27.317378997803,34.376934051514,27.267490386963,34.376934051514,43639.250823379596
46,46,,  2d 17:07:09.45,-4.500114442664,2.499656672007,1.405,1.404459517874,1.097062747586,5.058228017559,0,0,34.620380401611,27.317378997803,27.317378997803,34.782676696777,27.334011077880998,34.441848754883,27.334011077880998,34.441848754883,43639.288200081
47,47,,  2d 18:00:56.54,-4.499885557336,2.499656672007,1.40498,1.40408452211,1.096861813541,5.05684500716,0,0,34.685298919678004,27.300748825073,27.267490386963,34.847595214844,27.250860214232997,34.40938949585,27.250860214232997,34.40938949585,43639.3255619444
48,48,,  2d 18:54:45.41,-4.500038147555,2.499809262226,1.4046399999999999,1.40403455072,1.096595698217,5.0563652314539995,0,0,34.604148864746,27.367267608642997,27.334011077880998,34.831367492676,27.350637435913,34.40938949585,27.284120559692003,34.40938949585,43639.3629446181
49,49,,  2d 19:48:33.12,-4.499885557336,2.499809262226,1.40448,1.403922016556,1.099068990131,5.05591427686,0,0,34.636608123779,27.284120559692003,27.284120559692003,34.798908233643,27.367267608642997,34.393161773681996,27.367267608642997,34.393161773681996,43639.4003137269
50,50,,  2d 20:42:25.92,-4.499961852445,2.499809262226,1.40439,1.4036845143130001,1.099916002101,5.05483500018,0,0,34.620380401611,27.284120559692003,27.284120559692003,34.733985900879,27.317378997803,34.40938949585,27.300748825073,34.40938949585,43639.437741608795
51,51,,  2d 21:36:14.38,-4.500114442664,2.4999618524450002,1.4039100000000002,1.4032470788659999,1.096475325352,5.053178872427,0,0,34.685298919678004,27.334011077880998,27.284120559692003,34.798908233643,27.300748825073,34.458080291748,27.300748825073,34.458080291748,43639.4751195833
52,52,,  2d 22:30:02.69,-4.499885557336,2.4999618524450002,1.40385,1.4028720244530002,1.0972624448469999,5.051679470694,0,0,34.652839660645,27.334011077880998,27.317378997803,34.912517547607,27.267490386963,34.474311828613,27.267490386963,34.474311828613,43639.5124953704
53,53,,  2d 23:23:46.78,-4.499961852445,2.4999618524450002,1.40329,1.402647009972,1.0955925868529999,5.050699588659,0,0,34.66907119751,27.250860214232997,27.250860214232997,34.863826751709,27.284120559692003,34.393161773681996,27.267490386963,34.393161773681996,43639.5498225231
