Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,Date
0,,  0d 23:25:44.98,-0.749828336003662,2.4999618524450002,1.47671,1.470527606549,0.225028238937,5.483361997927001,0,0,43603.7156302199
1,,  1d 00:21:52.10,-4.500038147555,2.4999618524450002,1.4718300000000002,1.418134639446,1.149586178047,5.121774106069,0,0,43603.754613171295
2,,  1d 01:17:16.10,-4.499961852445,2.4999618524450002,1.4208100000000001,1.419984652569,1.1172526051629998,5.130470786711999,0,0,43603.7930964005
3,,  1d 02:12:01.72,-4.500114442664,2.499656672007,1.42024,1.4121220715149998,1.107734308785,5.0947160524449995,0,0,43603.8311359722
4,,  1d 03:06:17.14,-4.499961852445,2.4999618524450002,1.41385,1.4192971361500002,1.087328606048,5.1260167574510005,0,0,43603.8688257523
5,,  1d 04:00:33.95,-4.500038147555,2.499656672007,1.42026,1.418809631474,1.083220399426,5.1253376515869995,0,0,43603.9065316319
6,,  1d 04:55:07.00,-4.500114442664,2.4999618524450002,1.41981,1.420634654877,1.1391070855830001,5.133624147046,0,0,43603.944425763904
7,,  1d 05:49:32.06,-4.500038147555,2.4999618524450002,1.42172,1.422059671232,1.115995895314,5.1397678493239995,0,0,43603.9822271296
8,,  1d 06:43:49.94,-4.500038147555,2.499656672007,1.4226900000000002,1.4220721275600001,1.093896201426,5.139578070816,0,0,43604.0199454861
9,,  1d 07:38:07.41,-4.500038147555,2.4999618524450002,1.42256,1.420897159545,1.100535822237,5.134501123145,0,0,43604.0576591319
10,,  1d 08:32:23.13,-4.499961852445,2.499809262226,1.42149,1.41995965007,1.09967893188,5.130276578884001,0,0,43604.095352349505
11,,  1d 09:27:02.08,-4.500114442664,2.499656672007,1.4196,1.420522121963,1.116175590621,5.128800000918,0,0,43604.1333145139
12,,  1d 10:21:10.96,-4.500038147555,2.4999618524450002,1.42148,1.419097133738,1.081487349094,5.123013058985,0,0,43604.1709286806
13,,  1d 11:15:36.00,-4.499961852445,2.499809262226,1.4200700000000002,1.4214096411950001,1.084998125524,5.137333798715,0,0,43604.2087300579
