Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
0,,  0d 23:26:15.81,-0.749904631113146,2.499809262226,1.48831,1.475352195374,0.203091968435,5.506355160281,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43603.715632025494
1,,  1d 00:21:46.40,-4.500038147555,2.499809262226,1.47716,1.4317596346430002,1.181320157855,5.177907865529,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,43603.7541919444
2,,  1d 01:17:40.59,-4.499961852445,2.499809262226,1.43452,1.432447128602,1.134709577959,5.181654401907,0,0,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.189453125,-2549.05883789063,43603.793025150495
3,,  1d 02:12:21.32,-4.500038147555,2.499809262226,1.43126,1.411122049251,1.117747504918,5.085359757169,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43603.8310077431
4,,  1d 03:06:05.28,-4.499961852445,2.4999618524450002,1.41362,1.430834663654,1.06407616787,5.168350706746,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43603.8683336227
5,,  1d 04:00:03.30,-4.500038147555,2.499809262226,1.43158,1.4277596207069998,1.065325369057,5.160482871676,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,43603.9058220949
6,,  1d 04:54:21.06,-4.499656672007,2.499656672007,1.42915,1.430809622385,1.2018488935690002,5.175502892163,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43603.9435390162
7,,  1d 05:48:23.45,-4.499961852445,2.4999618524450002,1.4318799999999998,1.433647114812,1.183806286514,5.187811810028,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43603.9810781019
8,,  1d 06:42:10.99,-4.499961852445,2.499656672007,1.4340899999999999,1.4336471551930001,1.103806990476,5.1875595767839995,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.189453125,-2549.05883789063,43604.0184452199
9,,  1d 07:36:10.31,-4.500038147555,2.499656672007,1.43402,1.4311096433039998,1.168797979356,5.176543395116,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43604.0559488773
10,,  1d 08:30:10.44,-4.499961852445,2.499656672007,1.4315200000000001,1.429684614521,1.159914267107,5.169511285595,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.0934615972
11,,  1d 09:25:24.00,-4.500038147555,2.4999618524450002,1.42821,1.432497064303,1.130371211542,5.171825651365,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.1318243634
12,,  1d 10:19:34.90,-4.500114442664,2.499809262226,1.43355,1.429022153285,1.085851816035,5.1556130008770005,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.169461875
13,,  1d 11:14:14.95,-4.499961852445,2.499504081788,1.42977,1.432509694592,1.093368373073,5.184785384167,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.2074367014
14,,  1d 12:08:06.32,-4.500114442664,2.499656672007,1.43117,1.428934559651,1.093119693267,5.166716386562,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.2448483102
15,,  1d 13:03:08.96,-4.4997329671170005,2.4999618524450002,1.43293,1.431122173812,1.110437332697,5.177019086419,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.2831381944
16,,  1d 13:57:02.88,-4.500114442664,2.499809262226,1.42841,1.4182845654010001,1.104006545818,5.103832255082,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.320525740695
17,,  1d 14:52:11.64,-4.500114442664,2.4999618524450002,1.42116,1.4242971064280001,1.184466105505,5.146280292388,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.3588329977
18,,  1d 15:46:17.99,-4.500038147555,2.499656672007,1.42591,1.430022149948,1.160539578615,5.173415143652,0,0,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.3964178704
19,,  1d 16:39:59.30,-4.499961852445,2.4999618524450002,1.4264899999999998,1.41545951374,1.104013134278,5.091553582046,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.4337128241
20,,  1d 17:33:04.43,-4.499961852445,2.4999618524450002,1.4192200000000001,1.415534603784,1.044803508902,5.1174109617140005,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.4705892477
21,,  1d 18:26:02.97,-4.500038147555,2.4999618524450002,1.4157300000000002,1.416172136657,1.0369369184289998,5.113600479089,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.5073893518
22,,  1d 19:19:02.77,-4.500114442664,2.499809262226,1.4169,1.4216346216799998,1.02937629744,5.134327347089,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43604.544204108795
23,,  1d 20:12:18.64,-4.500114442664,2.4999618524450002,1.42245,1.425247089523,1.054410934279,5.151082681405,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.5812046181
24,,  1d 21:06:32.98,-4.500038147555,2.4999618524450002,1.42387,1.4287595830070001,1.1088976171359999,5.163599264103,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.6188819097
25,,  1d 22:01:11.27,-4.500038147555,2.499809262226,1.43183,1.4302971640220001,1.083839133539,5.175498861956,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.656836481496
26,,  1d 22:54:54.94,-4.499961852445,2.4999618524450002,1.4272999999999998,1.4106220888510002,1.079098772878,5.085538429059,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.6941589236
27,,  1d 23:47:59.07,-4.499809262226,2.499656672007,1.41379,1.423909611328,1.049250075556,5.145373142747,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.7310237732
28,,  2d 00:42:12.83,-4.499961852445,2.499656672007,1.42403,1.4212346013769999,1.167618251303,5.133144765963,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.768694201404
29,,  2d 01:35:27.31,-4.499961852445,2.499809262226,1.42154,1.4279471089359999,1.038680679456,5.151645918558,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.805678969904
30,,  2d 02:28:42.64,-4.500038147555,2.4999618524450002,1.42849,1.4211720567800001,1.034422112159,5.127818220404,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43604.8426733218
31,,  2d 03:22:28.42,-4.499961852445,2.499656672007,1.42049,1.425659559966,1.0762524497,5.147128745228001,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,43604.88002
32,,  2d 04:17:08.54,-4.499885557336,2.499504081788,1.42705,1.4277346149599999,1.083518588108,5.164327681785,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.9179959028
33,,  2d 05:11:53.10,-4.500038147555,2.499656672007,1.42892,1.4271971291330001,1.082665461317,5.161686824671,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,43604.9560229977
34,,  2d 06:05:53.62,-4.500038147555,2.4999618524450002,1.42793,1.424534613224,1.111318612871,5.150261936593,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,43604.9935403125
35,,  2d 07:00:43.08,-4.500038147555,2.499656672007,1.42295,1.4212345952289998,1.157942661604,5.1211047272890005,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.031624189796
36,,  2d 07:55:20.24,-4.499885557336,2.499809262226,1.42339,1.426647126182,1.097193570577,5.159843691172,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.0695657407
37,,  2d 08:48:57.63,-4.500190737774,2.499809262226,1.42458,1.4134720261109999,1.069482073759,5.097127656546,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.1068154745
38,,  2d 09:41:54.83,-4.500038147555,2.4999618524450002,1.41594,1.41775958413,1.0271529124179999,5.118034642774,0,0,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2548.92822265625,43605.1436000231
39,,  2d 10:34:38.85,-4.500114442664,2.4999618524450002,1.41844,1.4191596119499998,1.015857478994,5.125239228129,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.1802321065
40,,  2d 11:30:07.12,-4.499809262226,2.499656672007,1.41777,1.414009608439,1.1048110282649999,5.098929461286,0,0,-2549.05883789063,-2548.92822265625,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.218765069396
41,,  2d 12:23:20.52,-4.500114442664,2.499809262226,1.41416,1.4252846010749998,1.06049660311,5.155831446282,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.2557370023
42,,  2d 13:16:54.18,-4.499961852445,2.499809262226,1.42631,1.416697082916,1.057580623799,5.10518838542,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.2929436921
43,,  2d 14:10:21.13,-4.499961852445,2.499809262226,1.4155699999999998,1.404897053492,1.0943207906730001,5.065452933976,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.189453125,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.3300726505
44,,  2d 15:03:05.08,-4.500038147555,2.499809262226,1.40817,1.416734620965,1.019713727872,5.113462860377,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.3667036458
45,,  2d 15:56:17.45,-4.499885557336,2.499809262226,1.41688,1.416284589619,1.067301080657,5.110421335305,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.4036636343
46,,  2d 16:49:23.06,-4.4997329671170005,2.4999618524450002,1.41658,1.409009571937,1.051921276456,5.086157776028,0,0,-2548.92822265625,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.4405454977
47,,  2d 17:42:31.12,-4.500114442664,2.499809262226,1.40896,1.4229470915590001,1.043168501304,5.132083067881,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.477455821805
48,,  2d 18:35:32.76,-4.499961852445,2.4999618524450002,1.4235,1.407809534111,1.034828698735,5.076707713599,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.514291921296
49,,  2d 19:30:04.46,-4.499885557336,2.499656672007,1.40911,1.4238970906330002,1.089213519083,5.150010371023,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.5521703356
50,,  2d 20:23:30.77,-4.500114442664,2.499809262226,1.4226899999999998,1.406897068781,1.056151484822,5.053711086125,0,0,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.5892916319
51,,  2d 21:18:30.75,-4.499885557336,2.4999618524450002,1.40725,1.4219345769260001,1.126506249032,5.128065641928,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.6274972338
52,,  2d 22:11:49.98,-4.499961852445,2.499809262226,1.42301,1.413047092764,1.046456583105,5.0904538937709995,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.6645368866
53,,  2d 23:06:27.17,-4.499961852445,2.4999618524450002,1.41337,1.419897119504,1.093831333992,5.131012976635,0,0,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,43605.7024784375
54,,  2d 23:59:32.44,-4.500114442664,2.4999618524450002,1.4183299999999999,1.40880952312,1.064159270129,5.06633941646,0,0,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.7393563079
55,,  3d 00:52:21.23,-4.499961852445,2.499809262226,1.4118899999999999,1.413147069973,1.028115610371,5.097137819062,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.7760437384
56,,  3d 01:45:21.01,-4.499961852445,2.499809262226,1.41317,1.411797057194,1.054453485886,5.090322406118999,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.8128581366
57,,  3d 02:39:40.91,-4.500038147555,2.4999618524450002,1.41321,1.417384564285,1.115045907859,5.119109167202,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.8505998148
58,,  3d 03:34:15.47,-4.500114442664,2.499809262226,1.41709,1.414884581683,1.086300270652,5.1066743641170005,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.888511331
59,,  3d 04:28:22.83,-4.499961852445,2.499809262226,1.41574,1.4138720925889998,1.102377722823,5.101204628148,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43605.9261077894
60,,  3d 05:21:34.56,-4.500114442664,2.499809262226,1.4142199999999998,1.412197085961,1.071536487894,5.092752568197,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43605.963060543996
61,,  3d 06:16:40.03,-4.499809262226,2.499809262226,1.41257,1.41790964538,1.139248689909,5.122622972725,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.0013296296
62,,  3d 07:10:47.89,-4.499961852445,2.499809262226,1.41735,1.40957205614,1.080529356307,5.075378231372,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.189453125,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.0389320486
63,,  3d 08:03:24.84,-4.499885557336,2.4999618524450002,1.41218,1.415459598457,1.004374474864,5.110405596896,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.0754821991
64,,  3d 08:56:16.64,-4.499885557336,2.499809262226,1.4159700000000002,1.4156220848980001,1.051405294462,5.111356837008,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.1122041782
65,,  3d 09:50:19.24,-4.500038147555,2.4999618524450002,1.4137,1.4181595679199999,1.0993703434720001,5.123867973858,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.149745463
66,,  3d 10:43:56.87,-4.499961852445,2.499656672007,1.4189,1.416172052247,1.05539042595,5.102936268604,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.189453125,-2549.189453125,-2549.05883789063,43606.1869982755
67,,  3d 11:37:59.08,-4.499885557336,2.499656672007,1.4172399999999998,1.415047117176,1.0576067786380001,5.097627610752999,0,0,-2548.92822265625,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.2245350347
68,,  3d 12:30:41.14,-4.499961852445,2.499809262226,1.4161,1.4103720760120002,1.004103958186,5.086002150606,0,0,-2549.05883789063,-2549.189453125,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.2611443287
69,,  3d 13:23:24.45,-4.499885557336,2.499809262226,1.41088,1.4089596020609998,1.014224962098,5.081252013489,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.2977682755
70,,  3d 14:16:09.03,-4.499809262226,2.499809262226,1.40915,1.4057595919299999,1.020910342339,5.065447929986,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,43606.3344065046
71,,  3d 15:09:11.99,-4.500114442664,2.4999618524450002,1.40707,1.4151470928310002,1.1791968661380001,5.110544969623,0,0,-2549.05883789063,-2549.05883789063,-2549.189453125,-2548.92822265625,-2549.05883789063,-2549.05883789063,-2549.189453125,-2549.05883789063,43606.3712577315
